イニング,表裏,ボール,ストライク,アウト,一塁走者,二塁走者,三塁走者,投手,投手チーム名,投手投げ方,打者,打者チーム名,打者打ち方,球種,球速,投球位置,捕手構え位置,投球結果,投球,打席,打数,安打,スイング,三振四球,振り逃げ,打撃結果,打球タイプ,捕球者,プレーアウト数,プレー得点数,打点,自責点,メモ
2,裏,0,0,1,-,-,-,藤川泰斗,福井工業大学,左,後藤 耀介,金沢学院大学,右,カーブ,,13,外角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2,裏,1,0,1,-,-,-,藤川泰斗,福井工業大学,左,後藤 耀介,金沢学院大学,右,ストレート,,12,,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2,裏,2,0,1,-,-,-,藤川泰斗,福井工業大学,左,後藤 耀介,金沢学院大学,右,ストレート,,13,内角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2,裏,3,0,1,-,-,-,藤川泰斗,福井工業大学,左,後藤 耀介,金沢学院大学,右,ストレート,,13,内角,ボール,1,1,0,0,0,四球,-,,,,0,0,0,0,
2,裏,0,0,1,○,-,-,藤川泰斗,福井工業大学,左,今岡 歩夢,金沢学院大学,左,ストレート,,7,内角,インプレー,1,1,1,0,1,,-,併殺,ゴロ,遊撃手,2,0,0,0,
3,表,0,0,0,-,-,-,水谷光希,金沢学院大学,右,山田 久敬,福井工業大学,左,ストレート,,4,内角,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
3,表,0,1,0,-,-,-,水谷光希,金沢学院大学,右,山田 久敬,福井工業大学,左,ストレート,,7,,空振り,1,0,0,0,1,,-,,,,0,0,0,0,
3,表,0,2,0,-,-,-,水谷光希,金沢学院大学,右,山田 久敬,福井工業大学,左,ツーシーム,,7,,空振り,1,1,1,0,1,空振り三振,-,,,,1,0,0,0,
3,表,0,0,1,-,-,-,水谷光希,金沢学院大学,右,辻本匡登,福井工業大学,右,,,,,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
3,表,0,1,1,-,-,-,水谷光希,金沢学院大学,右,辻本匡登,福井工業大学,右,スライダー,,9,外角,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
