イニング,表裏,ボール,ストライク,アウト,一塁走者,二塁走者,三塁走者,投手,投手チーム名,投手投げ方,打者,打者チーム名,打者打ち方,球種,球速,投球位置,捕手構え位置,投球結果,投球,打席,打数,安打,スイング,三振四球,振り逃げ,打撃結果,打球タイプ,捕球者,プレーアウト数,プレー得点数,打点,自責点,メモ
6,裏,2,2,1,-,-,-,濵名壱晴,金沢大学,右,東元龍成,金沢星稜大学,右,ストレート,,6,外角,インプレー,1,1,1,0,1,,-,アウト,フライ,右翼手,1,0,0,0,
6,裏,0,0,2,-,-,-,濵名壱晴,金沢大学,右,苅安 陸,金沢星稜大学,右,ストレート,,6,外角,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
6,裏,0,1,2,-,-,-,濵名壱晴,金沢大学,右,苅安 陸,金沢星稜大学,右,ストレート,,12,,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
6,裏,1,1,2,-,-,-,濵名壱晴,金沢大学,右,苅安 陸,金沢星稜大学,右,スライダー,,,,死球,1,1,0,0,0,,-,,,,0,0,0,0,
6,裏,0,0,2,○,-,-,濵名壱晴,金沢大学,右,黒江優翔,金沢星稜大学,左,ストレート,,1,真ん中,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
6,裏,0,1,2,○,-,-,濵名壱晴,金沢大学,右,黒江優翔,金沢星稜大学,左,ストレート,,5,真ん中,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
6,裏,0,2,2,○,-,-,濵名壱晴,金沢大学,右,黒江優翔,金沢星稜大学,左,ストレート,,11,内角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
6,裏,1,2,2,○,-,-,濵名壱晴,金沢大学,右,黒江優翔,金沢星稜大学,左,ストレート,,1,内角,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
6,裏,1,2,2,○,-,-,濵名壱晴,金沢大学,右,黒江優翔,金沢星稜大学,左,,,,,牽制,0,0,0,0,0,,-,,,,1,0,0,0,
7,表,0,0,0,-,-,-,丹保颯仁,金沢星稜大学,右,鍛冶陽斗,金沢大学,右,カーブ,,9,外角,インプレー,1,1,1,0,1,,-,アウト,ゴロ,遊撃手,1,0,0,0,
7,表,0,0,1,-,-,-,丹保颯仁,金沢星稜大学,右,加納誠琉,金沢大学,右,スライダー,,6,外角,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
7,表,0,1,1,-,-,-,丹保颯仁,金沢星稜大学,右,加納誠琉,金沢大学,右,ストレート,,14,外角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
7,表,1,1,1,-,-,-,丹保颯仁,金沢星稜大学,右,加納誠琉,金沢大学,右,チェンジアップ,,6,外角,空振り,1,0,0,0,1,,-,,,,0,0,0,0,
7,表,1,2,1,-,-,-,丹保颯仁,金沢星稜大学,右,加納誠琉,金沢大学,右,ストレート,,3,外角,インプレー,1,1,1,1,1,,-,単打,ライナー,中堅手,0,0,0,0,
7,表,0,0,1,○,-,-,丹保颯仁,金沢星稜大学,右,柴田結都,金沢大学,左,スライダー,,3,真ん中,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
7,表,0,1,1,○,-,-,丹保颯仁,金沢星稜大学,右,柴田結都,金沢大学,左,チェンジアップ,,7,内角,空振り,1,0,0,0,1,,-,,,,0,0,0,0,
7,表,0,2,1,○,-,-,丹保颯仁,金沢星稜大学,右,柴田結都,金沢大学,左,ストレート,,4,内角,空振り,1,1,1,0,1,空振り三振,-,,,,1,0,0,0,
7,表,0,0,2,○,-,-,丹保颯仁,金沢星稜大学,右,林 恭太郎,金沢大学,右,ストレート,,14,外角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
7,表,1,0,2,○,-,-,丹保颯仁,金沢星稜大学,右,林 恭太郎,金沢大学,右,カーブ,,9,真ん中,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
7,表,1,1,2,○,-,-,丹保颯仁,金沢星稜大学,右,林 恭太郎,金沢大学,右,ストレート,,2,外角,インプレー,1,1,1,0,1,,-,アウト,フライ,捕手,1,0,0,0,
