イニング,表裏,ボール,ストライク,アウト,一塁走者,二塁走者,三塁走者,投手,投手チーム名,投手投げ方,打者,打者チーム名,打者打ち方,球種,球速,投球位置,捕手構え位置,投球結果,投球,打席,打数,安打,スイング,三振四球,振り逃げ,打撃結果,打球タイプ,捕球者,プレーアウト数,プレー得点数,打点,自責点,メモ
6,表,1,1,0,-,-,-,濵名壱晴,金沢大学,右,山本翔士,金沢星稜大学,左,フォーク,,13,内角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
6,表,2,1,0,-,-,-,濵名壱晴,金沢大学,右,山本翔士,金沢星稜大学,左,ストレート,,4,,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
6,表,2,2,0,-,-,-,濵名壱晴,金沢大学,右,山本翔士,金沢星稜大学,左,スライダー,,11,,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
6,表,3,2,0,-,-,-,濵名壱晴,金沢大学,右,山本翔士,金沢星稜大学,左,ストレート,,7,,空振り,1,1,1,0,1,空振り三振,-,,,,1,0,0,0,
6,表,0,0,1,-,-,-,濵名壱晴,金沢大学,右,架谷 岳,金沢星稜大学,右,フォーク,,2,外角,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
6,表,0,1,1,-,-,-,濵名壱晴,金沢大学,右,架谷 岳,金沢星稜大学,右,ストレート,,12,内角,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
6,表,0,2,1,-,-,-,濵名壱晴,金沢大学,右,架谷 岳,金沢星稜大学,右,ストレート,,13,内角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
6,表,1,2,1,-,-,-,濵名壱晴,金沢大学,右,架谷 岳,金沢星稜大学,右,スライダー,,9,,インプレー,1,1,1,0,1,,-,アウト,ゴロ,遊撃手,1,0,0,0,
6,表,0,0,2,-,-,-,濵名壱晴,金沢大学,右,苅安 陸,金沢星稜大学,右,ストレート,,8,,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
6,表,0,1,2,-,-,-,濵名壱晴,金沢大学,右,苅安 陸,金沢星稜大学,右,スライダー,,14,外角,空振り,1,0,0,0,1,,-,,,,0,0,0,0,
6,表,0,2,2,-,-,-,濵名壱晴,金沢大学,右,苅安 陸,金沢星稜大学,右,ストレート,,7,内角,見逃し,1,1,1,0,0,見逃し三振,-,,,,1,0,0,0,
6,裏,0,0,0,-,-,-,玉村凌大,金沢星稜大学,右,柴田結都,金沢大学,左,,,8,,インプレー,1,1,1,0,1,,-,アウト,ゴロ,一塁手,1,0,0,0,
6,裏,0,0,1,-,-,-,玉村凌大,金沢星稜大学,右,山本優人,金沢大学,右,スライダー,,5,,インプレー,1,1,1,0,1,,-,アウト,フライ,左翼手,1,0,0,0,
6,裏,0,0,2,-,-,-,玉村凌大,金沢星稜大学,右,山本悠真,金沢大学,右,カーブ,,4,,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
6,裏,0,1,2,-,-,-,玉村凌大,金沢星稜大学,右,山本悠真,金沢大学,右,カーブ,,14,,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
6,裏,1,1,2,-,-,-,玉村凌大,金沢星稜大学,右,山本悠真,金沢大学,右,カーブ,,9,,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
6,裏,1,2,2,-,-,-,玉村凌大,金沢星稜大学,右,山本悠真,金沢大学,右,ストレート,,14,,空振り,1,1,1,0,1,空振り三振,-,,,,1,0,0,0,
7,表,0,0,0,-,-,-,濵名壱晴,金沢大学,右,東元龍成,金沢星稜大学,右,スライダー,,3,外角,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
7,表,0,1,0,-,-,-,濵名壱晴,金沢大学,右,東元龍成,金沢星稜大学,右,ストレート,,13,,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
7,表,1,1,0,-,-,-,濵名壱晴,金沢大学,右,東元龍成,金沢星稜大学,右,ストレート,,4,,インプレー,1,1,1,0,1,,-,アウト,ゴロ,遊撃手,1,0,0,0,
7,表,0,0,1,-,-,-,濵名壱晴,金沢大学,右,黒江優翔,金沢星稜大学,左,フォーク,,13,,空振り,1,0,0,0,1,,-,,,,0,0,0,0,
7,表,0,1,1,-,-,-,濵名壱晴,金沢大学,右,黒江優翔,金沢星稜大学,左,ストレート,,11,外角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
7,表,1,1,1,-,-,-,濵名壱晴,金沢大学,右,黒江優翔,金沢星稜大学,左,スライダー,,6,,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
