Date,イニング,表裏,ボール,ストライク,アウト,一塁走者,二塁走者,三塁走者,投手,投手チーム名,投手投げ方,打者,打者チーム名,打者打ち方,球種,球速,投球位置,捕手構え位置,投球結果,投球,打席,打数,安打,スイング,三振四球,振り逃げ,打撃結果,打球タイプ,捕球者,プレーアウト数,プレー得点数,打点,自責点,メモ
2026/3/18,1,表,0,0,0,-,-,-,山田恭吾,金沢大学,右,不明,不明,左,ストレート,,14,,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2026/3/18,1,表,1,0,0,-,-,-,山田恭吾,金沢大学,右,不明,不明,左,ストレート,,13,,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2026/3/18,1,表,2,0,0,-,-,-,山田恭吾,金沢大学,右,不明,不明,左,ストレート,,11,,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2026/3/18,1,表,2,0,0,-,-,-,山田恭吾,金沢大学,右,不明,不明,左,ストレート,,11,,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2026/3/18,1,表,3,0,0,-,-,-,山田恭吾,金沢大学,右,不明,不明,左,ストレート,,1,,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
2026/3/18,1,表,3,1,0,-,-,-,山田恭吾,金沢大学,右,不明,不明,左,ストレート,,8,,インプレー,1,1,1,1,1,,-,単打,ゴロ,遊撃手,0,0,0,0,
2026/3/18,1,表,0,0,0,○,-,-,山田恭吾,金沢大学,右,不明,不明,左,ストレート,,7,,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
2026/3/18,1,表,0,1,0,○,-,-,山田恭吾,金沢大学,右,不明,不明,左,スライダー,,4,,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
2026/3/18,1,表,0,2,0,○,-,-,山田恭吾,金沢大学,右,不明,不明,左,ストレート,,4,,インプレー,1,1,0,0,1,,-,犠打,ゴロ,投手,1,0,0,0,
2026/3/18,1,表,0,0,1,-,○,-,山田恭吾,金沢大学,右,不明,不明,右,スライダー,,3,外角,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
2026/3/18,1,表,0,1,1,-,○,-,山田恭吾,金沢大学,右,不明,不明,右,スライダー,,6,外角,インプレー,1,1,1,0,1,,-,アウト,ゴロ,遊撃手,1,0,0,0,
2026/3/18,1,表,0,0,2,-,-,○,山田恭吾,金沢大学,右,不明,不明,左,スライダー,,14,,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2026/3/18,1,表,1,0,2,-,-,○,山田恭吾,金沢大学,右,不明,不明,左,ストレート,,9,,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
2026/3/18,1,表,1,1,2,-,-,○,山田恭吾,金沢大学,右,不明,不明,左,スライダー,,9,外角,インプレー,1,1,1,1,1,,-,単打,ゴロ,投手,0,1,1,0,
2026/3/18,1,表,0,0,2,○,-,-,山田恭吾,金沢大学,右,不明,不明,左,ストレート,,11,,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2026/3/18,1,表,1,0,2,○,-,-,山田恭吾,金沢大学,右,不明,不明,左,ストレート,,8,,インプレー,1,1,1,1,1,,-,二塁打,ライナー,左翼手,0,0,0,0,
2026/3/18,1,表,0,0,2,-,○,○,山田恭吾,金沢大学,右,不明,不明,左,スライダー,,14,,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2026/3/18,1,表,1,0,2,-,○,○,山田恭吾,金沢大学,右,不明,不明,左,スライダー,,2,,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
2026/3/18,1,表,1,1,2,-,○,○,山田恭吾,金沢大学,右,不明,不明,左,ストレート,,3,,インプレー,1,1,1,1,1,,-,単打,ゴロ,遊撃手,0,1,1,2,
2026/3/18,1,表,0,0,2,○,-,○,山田恭吾,金沢大学,右,不明,不明,右,スライダー,,4,外角,見逃し,1,0,0,0,0,,-,,,,0,0,0,0,
2026/3/18,1,表,0,1,2,○,-,○,山田恭吾,金沢大学,右,不明,不明,右,ストレート,,14,外角,ボール,1,0,0,0,0,,-,,,,0,0,0,0,
2026/3/18,1,表,1,1,2,○,-,○,山田恭吾,金沢大学,右,不明,不明,右,スライダー,,6,外角,ファウル,1,0,0,0,1,,-,,,,0,0,0,0,
